,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,gender,SeniorCitizen,Partner,Dependents,InternetService_Fiber optic,InternetService_No,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Contract_One year,Contract_Two year
0,1,0,1,29.85,29.85,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
1,34,1,0,56.95,1889.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2,2,1,1,53.85,108.15,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,45,0,0,42.3,1840.75,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4,2,1,1,70.7,151.65,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
5,8,1,1,99.65,820.5,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0
6,22,1,1,89.1,1949.4,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0
7,10,0,0,29.75,301.9,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
8,28,1,1,104.8,3046.05,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0
9,62,1,0,56.15,3487.95,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
10,13,1,1,49.95,587.45,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
11,16,1,0,18.95,326.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
12,58,1,0,100.35,5681.1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0
13,49,1,1,103.7,5036.3,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
14,25,1,1,105.5,2686.05,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0
15,69,1,0,113.25,7895.15,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1
16,52,1,0,20.65,1022.95,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
17,71,1,0,106.7,7382.25,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1
18,10,1,0,55.2,528.35,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0
19,21,1,1,90.05,1862.9,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0
20,1,0,1,39.65,39.65,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
21,12,1,0,19.8,202.25,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
22,1,1,0,20.15,20.15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
23,58,1,1,59.9,3505.1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
24,49,1,0,59.6,2970.3,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
25,30,1,1,55.3,1530.6,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,47,1,1,99.35,4749.15,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0
27,1,0,0,30.2,30.2,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
28,72,1,1,90.25,6369.45,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1
29,17,1,1,64.7,1093.1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0
30,71,1,1,96.35,6766.95,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1
31,2,1,1,95.5,181.65,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0
32,27,1,0,66.15,1874.45,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0
33,1,1,0,20.2,20.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34,1,1,0,45.25,45.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
35,72,1,0,99.9,7251.7,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1
36,5,1,1,69.7,316.9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
37,46,1,1,74.8,3548.3,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
38,34,1,1,106.35,3549.25,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0
39,11,1,1,97.85,1105.4,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0
40,10,1,0,49.55,475.7,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
41,70,1,1,69.2,4872.35,0,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1
42,17,1,0,20.75,418.25,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0
43,63,1,1,79.85,4861.45,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1
44,13,1,1,76.2,981.45,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0
45,49,1,1,84.5,3906.7,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
46,2,1,0,49.25,97.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
47,2,1,1,80.65,144.15,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
